name,price,link,glass_image,try_on_image
Whittier,$29.95,https://www.glassesshop.com/eyeglasses/fz1313,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e9765e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e950be.jpg"
Butler,$19.95,https://www.glassesshop.com/eyeglasses/fp1843,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b51374f0.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f47621ee14ea.jpg"
Hawthorn,$29.95,https://www.glassesshop.com/eyeglasses/fm1349,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c2436744043a.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5ddb8bf2e7292.jpg"
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1090,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c58d5a53.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c540b457.jpg"
Isaiah,$19.95,https://www.glassesshop.com/eyeglasses/fp1644,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e919eb7f.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e8b63818.jpg"
Brunswick,$29.95,https://www.glassesshop.com/eyeglasses/fm1017,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af13c7ed9208.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af13c79a1738.jpg"
Mika,$29.95,https://www.glassesshop.com/eyeglasses/sup0652,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf966899ddb.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ce4ad1f8468d.jpg"
Beulah,$29.95,https://www.glassesshop.com/eyeglasses/fz1247,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5daeb8bb49037.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5daeb8bcd6dd7.jpg"
Angel  Wayframe,$19.95,https://www.glassesshop.com/eyeglasses/fp1646,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ea43b647.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e9d5f420.jpg"
Thomasville,$24.95,https://www.glassesshop.com/eyeglasses/fp1564,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab494f934f90.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab494f419200.jpg"
Hyannis,$29.95,https://www.glassesshop.com/eyeglasses/fp1110,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201708/5983fe65ed003.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201708/5983fe6171266.jpg"
Joni,$29.95,https://www.glassesshop.com/eyeglasses/fp2025,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3995ac6aa2.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3995c1b102.jpg"
Ben,$39.95,https://www.glassesshop.com/eyeglasses/fp1722,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b3dcfcc49a86.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b3dcfc8b5c92.jpg"
,,,,
Enoch,$29.95,https://www.glassesshop.com/eyeglasses/fz1158,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b0fae276f84e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b0fae244f318.jpg"
Thomasville,$24.95,https://www.glassesshop.com/eyeglasses/fp1565,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab49500a3081.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab494fb9d10f.jpg"
